year,month,region,avg_temp,humidity,Antihistamines_demand_level,ColdRelief_demand_level,Painkillers_demand_level,Antibiotics_demand_level,DigestiveAids_demand_level
2015,9,southwest,27.6,56.3,Moderate,Low,Moderate,Moderate,Moderate
2015,9,central,31.1,64.4,Moderate,Low,High,Moderate,Moderate
2015,10,northeast,25.8,71.6,Low,Low,Moderate,High,Moderate
2015,10,northwest,12.2,71.9,Low,Moderate,Low,High,Low
2015,10,southeast,30.4,63.2,Low,Low,High,Moderate,Moderate
2015,10,southwest,27.0,78.6,Low,Low,Moderate,High,Moderate
2015,10,central,15.9,72.4,Low,Low,Low,High,Low
2015,11,northeast,22.1,60.8,Low,High,Moderate,Moderate,Low
2015,11,northwest,13.1,57.4,Low,High,Low,Moderate,Low
2015,11,southeast,21.2,48.1,Low,High,Moderate,Low,Low
2015,11,southwest,26.4,74.9,Low,High,Moderate,High,Moderate
2015,11,central,18.3,40.0,Low,High,Low,Low,Low
2015,12,northeast,9.0,71.4,Low,High,Low,High,Low
2015,12,northwest,13.6,74.3,Low,High,Low,High,Low
2015,12,southeast,27.0,61.3,Low,High,Moderate,Moderate,Moderate
2015,12,southwest,28.0,78.8,Low,High,Moderate,High,Moderate
2015,12,central,15.8,66.3,Low,High,Low,Moderate,Low
2016,1,northeast,19.9,64.7,Low,High,Low,Moderate,Low
2016,1,northwest,10.0,73.1,Low,High,Low,High,Low
2016,1,southeast,23.9,74.8,Low,High,Moderate,High,Low
2016,1,southwest,25.7,68.4,Low,High,Moderate,Moderate,Moderate
2016,1,central,18.4,49.9,Low,High,Low,Low,Low
2016,2,northeast,10.7,43.9,Low,High,Low,Low,Low
2016,2,northwest,8.7,47.9,Low,High,Low,Low,Low
2016,2,southeast,23.9,65.2,Low,High,Moderate,Moderate,Low
2016,2,southwest,27.0,60.5,Low,High,Moderate,Moderate,Moderate
2016,2,central,22.7,45.9,Low,High,Moderate,Low,Low
2016,3,northeast,15.0,41.9,Low,Low,Low,Low,Low
2016,3,northwest,20.1,49.6,Low,Low,Moderate,Low,Low
2016,3,southeast,24.1,75.9,High,Low,Moderate,High,Low
2016,3,southwest,23.0,58.5,Low,Low,Moderate,Moderate,Low
2016,3,central,26.3,48.6,Low,Low,Moderate,Low,Moderate
2016,4,northeast,14.2,64.5,High,Moderate,Low,Moderate,Low
2016,4,northwest,17.9,51.2,Low,Low,Low,Moderate,Low
2016,4,southeast,28.8,43.3,Low,Low,Moderate,Low,Moderate
2016,4,southwest,20.2,68.2,High,Low,Moderate,Moderate,Low
2016,4,central,21.1,47.8,Low,Low,Moderate,Low,Low
2016,5,northeast,19.9,68.2,High,Low,Low,Moderate,High
2016,5,northwest,11.5,59.1,Low,Moderate,Low,Moderate,High
2016,5,southeast,32.6,70.1,High,Low,High,High,High
2016,5,southwest,26.7,48.1,Low,Low,Moderate,Low,High
2016,5,central,22.7,49.7,Low,Low,Moderate,Low,High
2016,6,northeast,16.7,75.5,High,Low,Low,High,High
2016,6,northwest,23.2,49.3,Low,Low,Moderate,Low,High
2016,6,southeast,38.4,69.8,High,Low,High,Moderate,High
2016,6,southwest,34.4,48.0,Low,Low,High,Low,High
2016,6,central,25.9,46.2,Low,Low,Moderate,Low,High
2016,7,northeast,16.4,40.1,Moderate,Low,Low,Low,High
2016,7,northwest,18.9,52.4,Moderate,Low,Low,Moderate,High
2016,7,southeast,37.8,62.7,Moderate,Low,High,Moderate,High
2016,7,southwest,26.0,57.5,Moderate,Low,Moderate,Moderate,High
2016,7,central,23.8,56.5,Moderate,Low,Moderate,Moderate,High
2016,8,northeast,28.7,46.2,Moderate,Low,Moderate,Low,High
2016,8,northwest,15.3,49.4,Moderate,Low,Low,Low,High
2016,8,southeast,28.7,65.0,Moderate,Low,Moderate,Moderate,High
2016,8,southwest,28.6,75.1,Moderate,Low,Moderate,High,High
2016,8,central,23.4,76.1,Moderate,Low,Moderate,High,High
2016,9,northeast,13.3,51.7,Moderate,Moderate,Low,Moderate,Low
2016,9,northwest,18.9,68.5,Moderate,Low,Low,Moderate,Low
2016,9,southeast,22.9,60.4,Moderate,Low,Moderate,Moderate,Low
2016,9,southwest,25.0,68.9,Moderate,Low,Moderate,Moderate,Low
2016,9,central,20.1,58.3,Moderate,Low,Moderate,Moderate,Low
2016,10,northeast,17.3,52.0,Low,Low,Low,Moderate,Low
2016,10,northwest,12.3,70.5,Low,Moderate,Low,High,Low
2016,10,southeast,22.5,67.5,Low,Low,Moderate,Moderate,Low
2016,10,southwest,25.5,44.8,Low,Low,Moderate,Low,Moderate
2016,10,central,17.7,65.4,Low,Low,Low,Moderate,Low
2016,11,northeast,20.8,76.3,Low,High,Moderate,High,Low
2016,11,northwest,12.6,61.7,Low,High,Low,Moderate,Low
2016,11,southeast,28.4,54.6,Low,High,Moderate,Moderate,Moderate
2016,11,southwest,29.6,58.0,Low,High,Moderate,Moderate,Moderate
2016,11,central,23.2,46.8,Low,High,Moderate,Low,Low
2016,12,northeast,7.0,50.4,Low,High,Low,Moderate,Low
2016,12,northwest,7.3,61.0,Low,High,Low,Moderate,Low
2016,12,southeast,25.9,59.9,Low,High,Moderate,Moderate,Moderate
2016,12,southwest,24.3,58.3,Low,High,Moderate,Moderate,Low
2016,12,central,14.5,61.0,Low,High,Low,Moderate,Low
2017,1,northeast,12.1,73.1,Low,High,Low,High,Low
2017,1,northwest,19.6,58.1,Low,High,Low,Moderate,Low
2017,1,southeast,22.6,70.0,Low,High,Moderate,Moderate,Low
2017,1,southwest,24.9,50.3,Low,High,Moderate,Moderate,Low
2017,1,central,15.8,67.3,Low,High,Low,Moderate,Low
2017,2,northeast,10.7,79.3,Low,High,Low,High,Low
2017,2,northwest,20.6,49.3,Low,High,Moderate,Low,Low
2017,2,southeast,21.2,79.5,Low,High,Moderate,High,Low
2017,2,southwest,22.1,71.7,Low,High,Moderate,High,Low
2017,2,central,18.5,42.6,Low,High,Low,Low,Low
2017,3,northeast,13.9,74.8,High,Moderate,Low,High,Low
2017,3,northwest,20.9,51.1,Low,Low,Moderate,Moderate,Low
2017,3,southeast,31.2,60.3,High,Low,High,Moderate,Moderate
2017,3,southwest,22.9,61.7,High,Low,Moderate,Moderate,Low
2017,3,central,17.9,67.9,High,Low,Low,Moderate,Low
2017,4,northeast,11.7,40.1,Low,Moderate,Low,Low,Low
2017,4,northwest,17.1,73.3,High,Low,Low,High,Low
2017,4,southeast,34.6,48.9,Low,Low,High,Low,Moderate
2017,4,southwest,30.1,40.2,Low,Low,High,Low,Moderate
2017,4,central,18.0,71.1,High,Low,Low,High,Low
2017,5,northeast,19.2,42.7,Low,Low,Low,Low,High
2017,5,northwest,22.6,70.9,High,Low,Moderate,High,High
2017,5,southeast,30.0,48.7,Low,Low,Moderate,Low,High
2017,5,southwest,20.1,56.8,Low,Low,Moderate,Moderate,High
2017,5,central,18.6,58.2,Low,Low,Low,Moderate,High
2017,6,northeast,18.7,67.5,High,Low,Low,Moderate,High
2017,6,northwest,23.8,65.0,High,Low,Moderate,Moderate,High
2017,6,southeast,27.8,53.5,Low,Low,Moderate,Moderate,High
2017,6,southwest,31.8,60.0,Low,Low,High,Moderate,High
2017,6,central,33.7,53.6,Low,Low,High,Moderate,High
2017,7,northeast,25.5,75.1,Moderate,Low,Moderate,High,High
2017,7,northwest,17.0,51.0,Moderate,Low,Low,Moderate,High
2017,7,southeast,24.0,69.5,Moderate,Low,Moderate,Moderate,High
2017,7,southwest,27.9,61.1,Moderate,Low,Moderate,Moderate,High
2017,7,central,24.8,46.9,Moderate,Low,Moderate,Low,High
2017,8,northeast,23.9,45.1,Moderate,Low,Moderate,Low,High
2017,8,northwest,25.5,67.1,Moderate,Low,Moderate,Moderate,High
2017,8,southeast,37.5,71.3,Moderate,Low,High,High,High
2017,8,southwest,36.6,43.1,Moderate,Low,High,Low,High
2017,8,central,31.4,58.7,Moderate,Low,High,Moderate,High
2017,9,northeast,24.3,43.4,Moderate,Low,Moderate,Low,Low
2017,9,northwest,17.7,62.7,Moderate,Low,Low,Moderate,Low
2017,9,southeast,24.4,51.5,Moderate,Low,Moderate,Moderate,Low
2017,9,southwest,31.4,76.7,Moderate,Low,High,High,Moderate
2017,9,central,25.6,53.7,Moderate,Low,Moderate,Moderate,Moderate
2017,10,northeast,23.9,63.6,Low,Low,Moderate,Moderate,Low
2017,10,northwest,23.8,64.5,Low,Low,Moderate,Moderate,Low
2017,10,southeast,30.9,56.2,Low,Low,High,Moderate,Moderate
2017,10,southwest,28.1,53.6,Low,Low,Moderate,Moderate,Moderate
2017,10,central,19.0,48.2,Low,Low,Low,Low,Low
2017,11,northeast,23.3,68.1,Low,High,Moderate,Moderate,Low
2017,11,northwest,14.5,71.3,Low,High,Low,High,Low
2017,11,southeast,32.4,77.1,Low,High,High,High,Moderate
2017,11,southwest,34.1,72.9,Low,High,High,High,Moderate
2017,11,central,27.3,71.3,Low,High,Moderate,High,Moderate
2017,12,northeast,15.1,75.6,Low,High,Low,High,Low
2017,12,northwest,19.1,75.4,Low,High,Low,High,Low
2017,12,southeast,23.3,49.2,Low,High,Moderate,Low,Low
2017,12,southwest,23.2,44.1,Low,High,Moderate,Low,Low
2017,12,central,13.3,41.2,Low,High,Low,Low,Low
2018,1,northeast,17.0,78.3,Low,High,Low,High,Low
2018,1,northwest,17.5,56.6,Low,High,Low,Moderate,Low
2018,1,southeast,21.4,79.5,Low,High,Moderate,High,Low
2018,1,southwest,28.4,55.0,Low,High,Moderate,Moderate,Moderate
2018,1,central,14.6,43.6,Low,High,Low,Low,Low
2018,2,northeast,8.4,40.4,Low,High,Low,Low,Low
2018,2,northwest,4.9,45.0,Low,High,Low,Low,Low
2018,2,southeast,27.9,65.7,Low,High,Moderate,Moderate,Moderate
2018,2,southwest,22.4,72.9,Low,High,Moderate,High,Low
2018,2,central,17.7,54.2,Low,High,Low,Moderate,Low
2018,3,northeast,12.4,70.5,High,Moderate,Low,High,Low
2018,3,northwest,19.5,54.8,Low,Low,Low,Moderate,Low
2018,3,southeast,27.6,72.2,High,Low,Moderate,High,Moderate
2018,3,southwest,33.8,65.3,High,Low,High,Moderate,Moderate
2018,3,central,16.9,58.9,Low,Low,Low,Moderate,Low
2018,4,northeast,18.8,72.2,High,Low,Low,High,Low
2018,4,northwest,18.8,64.7,High,Low,Low,Moderate,Low
2018,4,southeast,34.8,67.7,High,Low,High,Moderate,Moderate
2018,4,southwest,22.8,50.7,Low,Low,Moderate,Moderate,Low
2018,4,central,24.5,49.5,Low,Low,Moderate,Low,Low
2018,5,northeast,20.2,46.9,Low,Low,Moderate,Low,High
2018,5,northwest,8.4,76.5,High,Moderate,Low,High,High
2018,5,southeast,23.1,64.3,High,Low,Moderate,Moderate,High
2018,5,southwest,22.3,41.3,Low,Low,Moderate,Low,High
2018,5,central,19.8,77.8,High,Low,Low,High,High
2018,6,northeast,20.6,77.1,High,Low,Moderate,High,High
2018,6,northwest,17.1,74.8,High,Low,Low,High,High
2018,6,southeast,29.5,67.2,High,Low,Moderate,Moderate,High
2018,6,southwest,28.1,73.7,High,Low,Moderate,High,High
2018,6,central,23.2,73.1,High,Low,Moderate,High,High
2018,7,northeast,15.1,66.0,Moderate,Low,Low,Moderate,High
2018,7,northwest,26.9,54.3,Moderate,Low,Moderate,Moderate,High
2018,7,southeast,27.5,46.3,Moderate,Low,Moderate,Low,High
2018,7,southwest,32.4,58.2,Moderate,Low,High,Moderate,High
2018,7,central,21.3,73.8,Moderate,Low,Moderate,High,High
2018,8,northeast,14.8,66.2,Moderate,Moderate,Low,Moderate,High
2018,8,northwest,22.4,58.7,Moderate,Low,Moderate,Moderate,High
2018,8,southeast,33.9,60.5,Moderate,Low,High,Moderate,High
2018,8,southwest,23.3,75.4,Moderate,Low,Moderate,High,High
2018,8,central,31.4,46.5,Moderate,Low,High,Low,High
2018,9,northeast,11.6,51.6,Moderate,Moderate,Low,Moderate,Low
2018,9,northwest,13.6,60.9,Moderate,Moderate,Low,Moderate,Low
2018,9,southeast,21.3,67.0,Moderate,Low,Moderate,Moderate,Low
2018,9,southwest,23.1,53.6,Moderate,Low,Moderate,Moderate,Low
2018,9,central,25.8,50.8,Moderate,Low,Moderate,Moderate,Moderate
2018,10,northeast,16.3,55.1,Low,Low,Low,Moderate,Low
2018,10,northwest,17.1,74.1,Low,Low,Low,High,Low
2018,10,southeast,22.1,77.8,Low,Low,Moderate,High,Low
2018,10,southwest,30.6,65.8,Low,Low,High,Moderate,Moderate
2018,10,central,18.3,51.4,Low,Low,Low,Moderate,Low
2018,11,northeast,10.0,57.5,Low,High,Low,Moderate,Low
2018,11,northwest,23.4,46.7,Low,High,Moderate,Low,Low
2018,11,southeast,22.4,60.8,Low,High,Moderate,Moderate,Low
2018,11,southwest,28.1,74.5,Low,High,Moderate,High,Moderate
2018,11,central,16.3,54.2,Low,High,Low,Moderate,Low
2018,12,northeast,22.5,59.0,Low,High,Moderate,Moderate,Low
2018,12,northwest,11.6,53.9,Low,High,Low,Moderate,Low
2018,12,southeast,20.6,70.2,Low,High,Moderate,High,Low
2018,12,southwest,29.8,50.2,Low,High,Moderate,Moderate,Moderate
2018,12,central,10.2,74.8,Low,High,Low,High,Low
2019,1,northeast,11.2,48.7,Low,High,Low,Low,Low
2019,1,northwest,12.0,64.1,Low,High,Low,Moderate,Low
2019,1,southeast,23.3,72.3,Low,High,Moderate,High,Low
2019,1,southwest,17.4,58.7,Low,High,Low,Moderate,Low
2019,1,central,23.3,57.0,Low,High,Moderate,Moderate,Low
2019,2,northeast,10.4,69.5,Low,High,Low,Moderate,Low
2019,2,northwest,14.1,74.6,Low,High,Low,High,Low
2019,2,southeast,27.3,44.0,Low,High,Moderate,Low,Moderate
2019,2,southwest,28.1,65.7,Low,High,Moderate,Moderate,Moderate
2019,2,central,20.5,42.6,Low,High,Moderate,Low,Low
2019,3,northeast,12.0,77.9,High,Moderate,Low,High,Low
2019,3,northwest,18.2,50.6,Low,Low,Low,Moderate,Low
2019,3,southeast,24.0,62.2,High,Low,Moderate,Moderate,Low
2019,3,southwest,25.9,59.6,Low,Low,Moderate,Moderate,Moderate
2019,3,central,25.5,60.9,High,Low,Moderate,Moderate,Moderate
2019,4,northeast,16.4,48.2,Low,Low,Low,Low,Low
2019,4,northwest,17.7,61.5,High,Low,Low,Moderate,Low
2019,4,southeast,28.3,67.6,High,Low,Moderate,Moderate,Moderate
2019,4,southwest,32.8,48.3,Low,Low,High,Low,Moderate
2019,4,central,25.4,66.8,High,Low,Moderate,Moderate,Moderate
2019,5,northeast,17.6,44.5,Low,Low,Low,Low,High
2019,5,northwest,22.7,49.1,Low,Low,Moderate,Low,High
2019,5,southeast,23.2,66.3,High,Low,Moderate,Moderate,High
2019,5,southwest,30.1,75.2,High,Low,High,High,High
2019,5,central,16.9,41.9,Low,Low,Low,Low,High
2019,6,northeast,25.1,66.5,High,Low,Moderate,Moderate,High
2019,6,northwest,29.1,73.7,High,Low,Moderate,High,High
2019,6,southeast,38.1,79.0,High,Low,High,High,High
2019,6,southwest,34.9,67.5,High,Low,High,Moderate,High
2019,6,central,28.1,67.1,High,Low,Moderate,Moderate,High
2019,7,northeast,18.6,49.0,Moderate,Low,Low,Low,High
2019,7,northwest,27.5,51.3,Moderate,Low,Moderate,Moderate,High
2019,7,southeast,24.4,41.4,Moderate,Low,Moderate,Low,High
2019,7,southwest,37.1,52.8,Moderate,Low,High,Moderate,High
2019,7,central,21.5,76.2,Moderate,Low,Moderate,High,High
2019,8,northeast,16.3,54.5,Moderate,Low,Low,Moderate,High
2019,8,northwest,17.4,40.7,Moderate,Low,Low,Low,High
2019,8,southeast,34.1,43.8,Moderate,Low,High,Low,High
2019,8,southwest,36.9,69.0,Moderate,Low,High,Moderate,High
2019,8,central,33.0,63.9,Moderate,Low,High,Moderate,High
2019,9,northeast,14.5,40.3,Moderate,Moderate,Low,Low,Low
2019,9,northwest,12.5,65.9,Moderate,Moderate,Low,Moderate,Low
2019,9,southeast,24.5,64.3,Moderate,Low,Moderate,Moderate,Low
2019,9,southwest,29.6,68.9,Moderate,Low,Moderate,Moderate,Moderate
2019,9,central,24.9,61.3,Moderate,Low,Moderate,Moderate,Low
2019,10,northeast,21.2,56.2,Low,Low,Moderate,Moderate,Low
2019,10,northwest,15.1,68.5,Low,Low,Low,Moderate,Low
2019,10,southeast,33.0,40.5,Low,Low,High,Low,Moderate
2019,10,southwest,22.9,73.9,Low,Low,Moderate,High,Low
2019,10,central,28.5,67.5,Low,Low,Moderate,Moderate,Moderate
2019,11,northeast,19.4,78.2,Low,High,Low,High,Low
2019,11,northwest,20.2,68.2,Low,High,Moderate,Moderate,Low
2019,11,southeast,27.9,78.4,Low,High,Moderate,High,Moderate
2019,11,southwest,29.4,51.0,Low,High,Moderate,Moderate,Moderate
2019,11,central,18.5,49.9,Low,High,Low,Low,Low
2019,12,northeast,12.8,42.9,Low,High,Low,Low,Low
2019,12,northwest,20.7,79.4,Low,High,Moderate,High,Low
2019,12,southeast,23.6,72.4,Low,High,Moderate,High,Low
2019,12,southwest,31.5,60.4,Low,High,High,Moderate,Moderate
2019,12,central,15.9,56.9,Low,High,Low,Moderate,Low
2020,1,northeast,16.7,55.5,Low,High,Low,Moderate,Low
2020,1,northwest,9.9,51.5,Low,High,Low,Moderate,Low
2020,1,southeast,18.7,75.9,Low,High,Low,High,Low
2020,1,southwest,31.0,58.1,Low,High,High,Moderate,Moderate
2020,1,central,12.9,62.3,Low,High,Low,Moderate,Low
2020,2,northeast,11.5,47.6,Low,High,Low,Low,Low
2020,2,northwest,15.1,56.0,Low,High,Low,Moderate,Low
2020,2,southeast,20.6,46.0,Low,High,Moderate,Low,Low
2020,2,southwest,20.5,79.5,Low,High,Moderate,High,Low
2020,2,central,21.0,57.1,Low,High,Moderate,Moderate,Low
2020,3,northeast,25.3,56.8,Low,Low,Moderate,Moderate,Moderate
2020,3,northwest,20.3,66.4,High,Low,Moderate,Moderate,Low
2020,3,southeast,34.3,40.1,Low,Low,High,Low,Moderate
2020,3,southwest,24.5,75.1,High,Low,Moderate,High,Low
2020,3,central,25.5,71.8,High,Low,Moderate,High,Moderate
2020,4,northeast,10.7,66.9,High,Moderate,Low,Moderate,Low
2020,4,northwest,13.7,49.0,Low,Moderate,Low,Low,Low
2020,4,southeast,30.0,56.5,Low,Low,Moderate,Moderate,Moderate
2020,4,southwest,23.1,60.4,High,Low,Moderate,Moderate,Low
2020,4,central,13.8,72.1,High,Moderate,Low,High,Low
2020,5,northeast,10.5,49.8,Low,Moderate,Low,Low,High
2020,5,northwest,12.1,56.5,Low,Moderate,Low,Moderate,High
2020,5,southeast,21.9,57.6,Low,Low,Moderate,Moderate,High
2020,5,southwest,23.8,47.5,Low,Low,Moderate,Low,High
2020,5,central,25.9,74.7,High,Low,Moderate,High,High
2020,6,northeast,19.9,72.6,High,Low,Low,High,High
2020,6,northwest,28.1,45.9,Low,Low,Moderate,Low,High
2020,6,southeast,36.9,49.8,Low,Low,High,Low,High
2020,6,southwest,32.0,43.4,Low,Low,High,Low,High
2020,6,central,26.4,58.9,Low,Low,Moderate,Moderate,High
2020,7,northeast,24.0,61.2,Moderate,Low,Moderate,Moderate,High
2020,7,northwest,21.1,59.9,Moderate,Low,Moderate,Moderate,High
2020,7,southeast,30.7,70.0,Moderate,Low,High,Moderate,High
2020,7,southwest,35.0,64.2,Moderate,Low,High,Moderate,High
2020,7,central,24.1,53.2,Moderate,Low,Moderate,Moderate,High
2020,8,northeast,19.3,72.7,Moderate,Low,Low,High,High
2020,8,northwest,25.0,61.1,Moderate,Low,Moderate,Moderate,High
2020,8,southeast,40.1,67.6,Moderate,Low,High,Moderate,High
2020,8,southwest,34.3,48.3,Moderate,Low,High,Low,High
2020,8,central,19.0,73.2,Moderate,Low,Low,High,High
2020,9,northeast,11.8,42.6,Moderate,Moderate,Low,Low,Low
2020,9,northwest,14.2,69.5,Moderate,Moderate,Low,Moderate,Low
2020,9,southeast,29.6,56.1,Moderate,Low,Moderate,Moderate,Moderate
2020,9,southwest,33.6,53.3,Moderate,Low,High,Moderate,Moderate
2020,9,central,27.4,63.7,Moderate,Low,Moderate,Moderate,Moderate
2020,10,northeast,12.5,46.6,Low,Moderate,Low,Low,Low
2020,10,northwest,19.0,79.3,Low,Low,Low,High,Low
2020,10,southeast,28.7,46.1,Low,Low,Moderate,Low,Moderate
2020,10,southwest,29.6,50.7,Low,Low,Moderate,Moderate,Moderate
2020,10,central,16.7,55.2,Low,Low,Low,Moderate,Low
2020,11,northeast,18.4,67.9,Low,High,Low,Moderate,Low
2020,11,northwest,23.2,46.4,Low,High,Moderate,Low,Low
2020,11,southeast,24.1,53.3,Low,High,Moderate,Moderate,Low
2020,11,southwest,22.0,41.8,Low,High,Moderate,Low,Low
2020,11,central,25.7,68.3,Low,High,Moderate,Moderate,Moderate
2020,12,northeast,19.2,79.2,Low,High,Low,High,Low
2020,12,northwest,18.4,41.2,Low,High,Low,Low,Low
2020,12,southeast,22.4,65.4,Low,High,Moderate,Moderate,Low
2020,12,southwest,30.5,60.4,Low,High,High,Moderate,Moderate
2020,12,central,22.0,73.7,Low,High,Moderate,High,Low
2021,1,northeast,17.8,48.9,Low,High,Low,Low,Low
2021,1,northwest,10.0,46.5,Low,High,Low,Low,Low
2021,1,southeast,19.0,47.3,Low,High,Low,Low,Low
2021,1,southwest,19.9,47.2,Low,High,Low,Low,Low
2021,1,central,12.3,50.0,Low,High,Low,Moderate,Low
2021,2,northeast,17.4,54.2,Low,High,Low,Moderate,Low
2021,2,northwest,9.4,74.5,Low,High,Low,High,Low
2021,2,southeast,28.0,70.6,Low,High,Moderate,High,Moderate
2021,2,southwest,18.7,47.4,Low,High,Low,Low,Low
2021,2,central,14.2,78.9,Low,High,Low,High,Low
2021,3,northeast,13.1,72.3,High,Moderate,Low,High,Low
2021,3,northwest,21.4,72.5,High,Low,Moderate,High,Low
2021,3,southeast,23.9,64.4,High,Low,Moderate,Moderate,Low
2021,3,southwest,26.7,63.2,High,Low,Moderate,Moderate,Moderate
2021,3,central,24.6,53.2,Low,Low,Moderate,Moderate,Low
2021,4,northeast,23.2,74.3,High,Low,Moderate,High,Low
2021,4,northwest,10.6,69.8,High,Moderate,Low,Moderate,Low
2021,4,southeast,30.0,49.3,Low,Low,High,Low,Moderate
2021,4,southwest,30.4,55.1,Low,Low,High,Moderate,Moderate
2021,4,central,28.2,63.4,High,Low,Moderate,Moderate,Moderate
2021,5,northeast,16.5,58.9,Low,Low,Low,Moderate,High
2021,5,northwest,15.9,70.4,High,Low,Low,High,High
2021,5,southeast,27.7,74.2,High,Low,Moderate,High,High
2021,5,southwest,22.2,79.2,High,Low,Moderate,High,High
2021,5,central,17.9,50.7,Low,Low,Low,Moderate,High
2021,6,northeast,15.7,40.4,Low,Low,Low,Low,High
2021,6,northwest,14.8,59.5,Low,Moderate,Low,Moderate,High
2021,6,southeast,32.3,71.2,High,Low,High,High,High
2021,6,southwest,34.4,73.0,High,Low,High,High,High
2021,6,central,23.4,46.9,Low,Low,Moderate,Low,High
2021,7,northeast,25.5,76.4,Moderate,Low,Moderate,High,High
2021,7,northwest,23.3,69.5,Moderate,Low,Moderate,Moderate,High
2021,7,southeast,30.5,79.1,Moderate,Low,High,High,High
2021,7,southwest,28.9,68.7,Moderate,Low,Moderate,Moderate,High
2021,7,central,29.6,46.2,Moderate,Low,Moderate,Low,High
2021,8,northeast,15.2,77.8,Moderate,Low,Low,High,High
2021,8,northwest,16.3,63.0,Moderate,Low,Low,Moderate,High
2021,8,southeast,27.6,73.9,Moderate,Low,Moderate,High,High
2021,8,southwest,36.6,65.3,Moderate,Low,High,Moderate,High
2021,8,central,22.6,64.5,Moderate,Low,Moderate,Moderate,High
2021,9,northeast,17.3,47.6,Moderate,Low,Low,Low,Low
2021,9,northwest,16.3,66.3,Moderate,Low,Low,Moderate,Low
2021,9,southeast,22.4,75.7,Moderate,Low,Moderate,High,Low
2021,9,southwest,32.7,46.2,Moderate,Low,High,Low,Moderate
2021,9,central,22.1,56.6,Moderate,Low,Moderate,Moderate,Low
2021,10,northeast,10.6,54.5,Low,Moderate,Low,Moderate,Low
2021,10,northwest,22.3,54.6,Low,Low,Moderate,Moderate,Low
2021,10,southeast,26.5,52.0,Low,Low,Moderate,Moderate,Moderate
2021,10,southwest,23.2,78.4,Low,Low,Moderate,High,Low
2021,10,central,23.2,60.7,Low,Low,Moderate,Moderate,Low
2021,11,northeast,12.2,66.0,Low,High,Low,Moderate,Low
2021,11,northwest,15.8,60.0,Low,High,Low,Moderate,Low
2021,11,southeast,34.6,43.1,Low,High,High,Low,Moderate
2021,11,southwest,26.0,73.5,Low,High,Moderate,High,Moderate
2021,11,central,19.4,73.8,Low,High,Low,High,Low
